Ensembl_ID,ext_gene,biotype,chr,WT.6dpf.1,WT.6dpf.4,pex5KO.6dpf.1,pex5KO.6dpf.2
ENSDARG00000013434,hira,protein_coding,5,2.884896928,2.050008648,2.250317981,2.984154664
ENSDARG00000015552,phactr4a,protein_coding,19,4.228077007,4.57124374,4.510688964,4.297489465
ENSDARG00000071652,rrp8,protein_coding,15,0,1.746662492,0.808653096,1.620016101
ENSDARG00000039483,si:dkey-51a16.9,protein_coding,13,0,0.836143193,1.702536188,1.620016101
ENSDARG00000026482,arhgap12b,protein_coding,12,0,1.36207273,0,0.758099792
ENSDARG00000094433,caspbl,protein_coding,1,0,0.836143193,0.808653096,1.252490209
ENSDARG00000093440,tnfaip6,protein_coding,9,0,0,1.323745211,0.758099792
ENSDARG00000041729,sntb1,protein_coding,16,0.773671072,0.836143193,0,0
ENSDARG00000035151,drll.1,protein_coding,5,1.645629537,3.486524492,4.557487418,2.545679527
ENSDARG00000063445,snap47,protein_coding,2,0,0,1.323745211,0.758099792
ENSDARG00000096972,CU633991.2,antisense,2,1.274547371,1.36207273,0,1.252490209
ENSDARG00000004745,lmbr1l,protein_coding,23,1.274547371,2.699751035,0,2.155848877
ENSDARG00000087921,plce1,protein_coding,12,0,1.746662492,0.808653096,0
ENSDARG00000058780,slc9a2,protein_coding,9,0,0.836143193,0.808653096,0
ENSDARG00000058940,si:ch211-248e11.2,protein_coding,8,3.626886762,4.472638564,4.002838239,4.732088855
ENSDARG00000016545,CRAT,protein_coding,8,1.274547371,1.746662492,0.808653096,1.252490209
ENSDARG00000056601,plekha3,protein_coding,11,2.394428303,1.36207273,2.250317981,2.363891357
ENSDARG00000005023,fkbp9,protein_coding,19,2.739181937,3.012110973,1.702536188,2.707103416
ENSDARG00000009418,mef2cb,protein_coding,5,3.250260412,2.300520784,1.702536188,3.507023729
ENSDARG00000004060,bhlhe40,protein_coding,11,4.876987426,5.151855964,5.121881303,5.311453966
ENSDARG00000042469,ndufa12,protein_coding,4,1.645629537,0,0.808653096,1.252490209
ENSDARG00000016656,mgme1,protein_coding,13,0,1.36207273,0,1.620016101
ENSDARG00000038898,zgc:113691,protein_coding,2,0,0,0.808653096,0
